Brand,ModelYear,EngineSize,Horsepower,Mileage,FuelType,Transmission,Seats,OwnerCount,Price
Maruti,2002,1027,102.0,16.6,Petrol,Automatic,6,1,61826.66723537733
Maruti,2012,2720,158.0,19.9,,Automatic,5,3,65644.99969158576
Honda,2022,1330,114.0,20.4,Diesel,Manual,6,2,68753.17919940561
Maruti,2008,3409,,13.4,Petrol,Manual,5,3,59091.77461121188
BMW,2001,3479,320.0,12.0,Petrol,Manual,4,2,82835.2607343974
Honda,2008,862,152.0,24.0,CNG,Manual,4,0,61349.79676890347
Kia,2018,1058,197.0,18.3,Petrol,Manual,6,2,78944.17706977401
Ford,2017,1025,223.0,18.4,CNG,Manual,7,1,62854.36402080304
Honda,2017,2553,396.0,24.6,Petrol,Manual,6,1,86382.5550547099
Hyundai,2000,3699,372.0,25.1,CNG,Manual,7,1,79271.69973297953
Audi,2016,3165,347.0,14.4,CNG,Automatic,7,0,94753.61293903549
Hyundai,2015,2972,331.0,16.2,Petrol,Automatic,4,3,78098.37871521011
Toyota,2005,810,169.0,17.7,CNG,Automatic,5,2,57204.04344671313
Ford,2006,3728,56.0,22.4,Diesel,Manual,5,0,43432.47894583374
Maruti,2001,3246,297.0,16.2,Diesel,Automatic,4,2,87545.62917309032
Maruti,2016,2649,332.0,16.5,Diesel,Automatic,7,1,83476.7296970358
Kia,2006,3668,353.0,19.8,Petrol,Automatic,6,1,92219.34357296316
Honda,2015,1768,353.0,13.2,CNG,Automatic,5,0,92782.29736967273
Hyundai,2005,1456,252.0,14.7,CNG,Manual,7,0,89745.25569435974
Hyundai,2012,2549,129.0,14.8,Petrol,Manual,6,3,67453.65489088348
BMW,2002,3513,110.0,15.4,,Manual,7,1,58734.18353946475
Kia,2008,2813,50.0,16.8,Diesel,Manual,4,0,50206.46327858688
Ford,2022,3243,94.0,17.5,Diesel,Manual,7,1,57099.616098272556
BMW,2015,1660,205.0,15.6,Diesel,Manual,4,2,52865.213358719935
Kia,2002,2365,234.0,,Diesel,Automatic,4,3,78311.12064385347
Hyundai,2009,3197,139.0,16.2,Diesel,Manual,5,2,53766.4097845478
Toyota,2023,2089,52.0,23.1,Diesel,Manual,5,0,51572.49079597388
Hyundai,2009,3363,237.0,15.4,Petrol,Automatic,5,1,76196.122021585
Kia,2004,2429,366.0,,Diesel,Manual,6,2,81776.62394095687
Maruti,2000,948,226.0,25.9,CNG,Manual,7,0,36060.864556724
Honda,2024,2694,377.0,22.9,Petrol,Manual,6,0,97339.06575480915
Honda,2011,1938,70.0,16.0,Petrol,Manual,7,1,54469.015284279696
Maruti,2018,3881,274.0,16.1,Diesel,Automatic,7,1,71623.38327838942
Toyota,2003,2811,365.0,18.7,Diesel,Automatic,4,2,68439.73578636226
Kia,2003,935,104.0,20.4,Diesel,Manual,4,2,42196.157999833966
Maruti,2013,2856,358.0,23.8,CNG,Manual,6,1,78958.49596321574
Honda,2008,2764,336.0,10.8,CNG,Manual,4,3,89524.30301545637
Audi,2007,2693,,21.1,Diesel,Automatic,7,3,65386.23645684741
Honda,2001,827,73.0,19.6,Petrol,Automatic,7,2,49678.085446997604
BMW,2011,3073,384.0,16.9,Petrol,Automatic,7,1,85258.0250598919
Honda,2019,2224,67.0,21.8,CNG,Automatic,7,3,47731.48721824821
Ford,2001,2822,192.0,11.0,CNG,Manual,5,1,56121.519815832435
Hyundai,2012,1353,193.0,14.9,Petrol,Automatic,4,2,51430.36842792329
Toyota,2020,2690,198.0,14.9,Petrol,Automatic,5,2,62473.58499050068
Toyota,2013,2208,160.0,12.2,Diesel,Manual,6,3,62872.07486888513
Audi,2019,2874,334.0,21.0,Petrol,Manual,4,3,82361.52473347409
Ford,2016,1906,119.0,12.2,CNG,Automatic,7,2,61011.325401536364
Toyota,2007,1220,186.0,17.9,CNG,Manual,6,3,60361.68732061343
Ford,2016,3245,76.0,16.3,Petrol,Manual,5,3,54083.077721717025
Honda,2002,3913,57.0,14.9,CNG,Manual,7,0,24951.150089783303
Maruti,2019,2299,284.0,18.6,CNG,Automatic,5,3,70225.08040815225
Hyundai,2011,1383,179.0,19.8,Petrol,Automatic,7,3,51149.708368768166
Kia,2014,3558,294.0,13.7,CNG,Manual,6,1,77363.65188098694
Honda,2021,1474,59.0,17.1,CNG,Automatic,5,1,36008.430080739854
Honda,2011,1070,302.0,17.5,Diesel,Automatic,6,2,57261.1415646759
Maruti,2016,3820,369.0,18.2,CNG,Automatic,7,2,104475.76195138674
Maruti,2016,2304,311.0,21.2,CNG,Manual,7,2,71303.53156289668
BMW,2007,3231,125.0,15.7,Diesel,Manual,7,3,53321.541866105545
Maruti,2020,2560,373.0,21.3,CNG,Automatic,6,2,77395.01438047436
Maruti,2013,1765,316.0,,CNG,Manual,4,2,75186.5093975999
Audi,2017,3396,131.0,14.0,CNG,Automatic,6,3,66354.35460337253
Honda,2013,3079,103.0,18.7,Diesel,Automatic,7,2,44180.78967033583
Honda,2001,1211,105.0,7.7,Petrol,Manual,6,3,54430.22815777367
Audi,2016,1987,338.0,18.3,Petrol,Manual,4,3,77446.76767232403
BMW,2001,3358,104.0,,Petrol,Automatic,7,0,49097.3021486298
BMW,2018,3247,185.0,24.4,Diesel,Automatic,5,2,40400.36288491209
BMW,2011,3180,82.0,13.2,Petrol,Automatic,5,1,51941.266755528486
Audi,2018,1905,320.0,11.8,Petrol,Automatic,6,1,73692.6881417365
Audi,2019,1804,272.0,19.0,CNG,Manual,4,1,77526.35040605912
Honda,2001,1317,60.0,16.0,Diesel,Manual,4,1,66533.16982210148
Maruti,2011,1132,55.0,,CNG,Automatic,5,0,33255.2325780377
Ford,2007,1342,155.0,,CNG,Manual,6,2,64912.07779257259
Ford,2003,3123,159.0,23.2,Diesel,Manual,6,3,71749.88447055002
Ford,2006,3877,303.0,21.6,Diesel,Manual,6,3,79701.24839714472
Ford,2002,1839,154.0,13.9,CNG,Automatic,7,3,49872.44647840875
Audi,2016,3646,303.0,18.6,CNG,Manual,7,0,76536.9877368219
Hyundai,2018,3532,111.0,13.7,Diesel,Automatic,6,0,55088.910769641836
Audi,2011,3983,376.0,16.9,CNG,Manual,4,1,94980.83391750492
Kia,2015,1961,308.0,19.6,CNG,Automatic,5,3,62441.33130521995
Maruti,2021,3151,344.0,15.8,Petrol,Automatic,5,1,78331.06417320215
BMW,2007,895,244.0,12.6,Petrol,Automatic,5,1,94381.71981639965
Maruti,2023,933,283.0,10.9,CNG,Automatic,7,1,83510.32802581617
BMW,2021,2239,,16.4,CNG,Automatic,5,2,85241.52061062408
Toyota,2002,3105,147.0,,Diesel,Manual,6,2,44191.41392155008
Toyota,2006,985,165.0,17.4,Petrol,Manual,7,0,55770.4511360393
Toyota,2006,1074,348.0,23.5,Petrol,Manual,4,3,66484.94439054468
BMW,2024,3644,392.0,19.3,Petrol,Manual,7,1,83941.12431900381
Audi,2003,1166,331.0,11.9,CNG,Manual,5,0,56928.02823589994
Kia,2002,1642,163.0,21.5,Petrol,Automatic,7,2,54840.0057687123
Toyota,2024,1282,241.0,15.2,CNG,Manual,4,3,64277.78149691928
Audi,2013,2890,160.0,19.9,CNG,Automatic,5,2,58069.91972387557
Audi,2013,1388,112.0,13.3,CNG,Automatic,7,1,58552.38739329059
Honda,2001,1351,296.0,18.0,Diesel,Manual,5,2,76759.92881031278
Kia,2014,3485,63.0,15.0,Diesel,Automatic,4,2,45709.90655536278
Kia,2011,2793,202.0,15.0,CNG,Manual,5,3,48806.065033097926
Maruti,2018,1939,221.0,21.2,Diesel,Manual,5,0,75315.8607311289
Audi,2007,995,52.0,22.1,CNG,Automatic,4,3,39326.6810546341
Toyota,2014,3129,155.0,17.5,CNG,Automatic,5,2,71238.81286277703
Kia,2011,1926,77.0,17.9,Diesel,Automatic,7,2,47936.14181087201
Kia,2003,1447,113.0,15.7,Petrol,Automatic,7,0,49128.401734954685
Toyota,2008,3971,94.0,18.5,Petrol,Automatic,6,3,47053.35205651948
Kia,2020,1397,127.0,22.3,CNG,Manual,6,2,53324.27178507925
Kia,2007,1317,70.0,15.0,Diesel,Manual,6,2,46467.35596122363
BMW,2019,3655,347.0,22.3,Diesel,Automatic,6,1,75849.44903774763
Kia,2023,3038,260.0,17.6,CNG,Automatic,4,0,84347.99212075754
Toyota,2013,3003,335.0,14.9,Diesel,Automatic,6,3,95306.02073197017
BMW,2018,2817,334.0,,,Automatic,6,0,89242.29902105397
Toyota,2015,3398,323.0,,Diesel,Automatic,5,1,71540.17567715957
Ford,2022,2084,137.0,,Diesel,Manual,5,0,47062.000807320874
Maruti,2013,1181,368.0,13.8,CNG,Automatic,5,0,76785.4716623563
BMW,2009,2359,389.0,15.3,CNG,Automatic,7,2,83176.16040781158
Audi,2013,2692,382.0,15.2,Petrol,Automatic,6,0,58148.875594911704
BMW,2016,2520,170.0,18.5,Petrol,Manual,6,1,57013.40475364445
Kia,2024,855,281.0,16.6,Petrol,Automatic,5,1,77588.61956106241
Toyota,2014,1800,155.0,17.0,Petrol,Automatic,6,0,62402.57322168471
Toyota,2023,1497,271.0,19.4,Diesel,Manual,5,2,57881.94179565852
Honda,2012,3920,198.0,22.8,Diesel,Manual,7,1,63870.57002930933
Toyota,2022,993,119.0,16.3,,Automatic,6,2,48776.79557773327
Kia,2014,2912,182.0,19.8,Petrol,Automatic,7,0,69284.99585487663
Hyundai,2013,2876,379.0,17.4,Petrol,Automatic,6,0,80364.67017640042
Ford,2010,1176,121.0,19.7,Petrol,Automatic,4,3,89692.969221127
Toyota,2002,2875,65.0,18.1,Diesel,Manual,4,1,55616.30210157735
BMW,2013,2442,132.0,17.5,Diesel,Manual,7,0,66295.88180055868
Honda,2005,3288,240.0,17.5,CNG,Automatic,6,1,62747.29565041668
Audi,2001,3949,371.0,19.4,CNG,Automatic,5,1,87656.33111143205
Honda,2010,2972,374.0,8.9,Petrol,Automatic,5,2,107876.53531980852
Honda,2012,2166,312.0,8.5,Petrol,Manual,5,3,91892.19367222721
BMW,2005,2660,333.0,23.2,Diesel,Manual,7,2,78480.30269475076
Toyota,2011,2524,315.0,15.1,CNG,Manual,6,3,88791.23493705656
Ford,2016,2560,294.0,12.1,Diesel,Manual,6,0,85786.21913786704
Maruti,2021,1313,293.0,18.9,Petrol,Automatic,7,1,74921.51577090094
Ford,2005,1953,141.0,11.9,Diesel,Automatic,4,3,73735.93917032864
BMW,2002,2008,257.0,24.7,Diesel,Manual,6,0,57301.83968199436
Honda,2021,1794,268.0,9.7,,Automatic,5,1,81133.16028931251
Maruti,2002,1253,215.0,17.5,Petrol,Automatic,7,1,79374.08444097225
Maruti,2010,1994,179.0,11.3,CNG,Automatic,7,2,47203.39385314514
Toyota,2001,3077,132.0,23.4,Diesel,Manual,4,3,43205.17555250184
Audi,2004,2630,280.0,22.2,,Automatic,7,3,59775.04628076081
Maruti,2000,2902,198.0,20.6,Diesel,Automatic,4,1,66637.62844570134
Audi,2012,1155,114.0,13.3,Petrol,Manual,7,1,73450.8505435645
Hyundai,2011,1606,277.0,19.3,Diesel,Automatic,7,1,62094.52204520068
Hyundai,2008,1307,351.0,23.6,CNG,Manual,7,0,78601.16970117608
Honda,2011,949,365.0,14.9,Diesel,Manual,7,0,71822.5942924065
Maruti,2017,834,,18.9,Diesel,Manual,5,0,69699.62945341771
BMW,2023,1077,316.0,18.0,Diesel,Automatic,7,2,82066.46129359535
Hyundai,2014,2825,338.0,17.7,Diesel,Manual,5,3,90340.15413888065
Hyundai,2022,2558,192.0,18.6,Petrol,Automatic,5,3,58629.11582525862
Maruti,2018,3345,291.0,20.9,Diesel,Automatic,4,3,82813.1219480669
Honda,2008,1140,52.0,20.2,,Manual,4,3,52079.67186736853
Audi,2006,2433,,14.9,Petrol,Manual,6,3,37595.80210974282
Toyota,2006,1241,135.0,18.3,Petrol,Manual,6,0,48328.6423868346
Kia,2002,3306,298.0,17.4,Diesel,Manual,5,3,72229.96684347665
Ford,2018,2789,236.0,25.4,Diesel,Automatic,7,1,64221.04926344166
Maruti,2006,923,160.0,,Diesel,Manual,5,3,64929.5958436187
Toyota,2018,1435,177.0,15.7,CNG,Manual,6,3,65129.89302411462
BMW,2001,3434,358.0,15.4,Petrol,Manual,6,2,88349.2314382632
Audi,2000,1605,233.0,11.8,CNG,Manual,4,3,49719.78250875046
Hyundai,2017,2099,388.0,27.0,Petrol,Automatic,4,2,93974.87693034344
Hyundai,2005,3926,314.0,16.0,CNG,Manual,4,2,49827.26159360442
Audi,2001,1360,392.0,21.3,Diesel,Manual,4,0,80737.9821957585
Maruti,2003,3099,141.0,16.4,Petrol,Automatic,4,2,59957.626387283715
Toyota,2016,1651,227.0,18.0,Diesel,Manual,6,1,50737.89764543318
Hyundai,2011,2443,152.0,16.1,Petrol,Automatic,6,3,76272.2650653825
BMW,2018,3320,166.0,12.4,Diesel,Automatic,4,0,57357.544767355845
Honda,2018,3286,117.0,9.8,CNG,Automatic,4,0,68330.73536115754
Hyundai,2020,1022,330.0,18.5,,Manual,7,0,98776.87638635025
Honda,2011,1415,98.0,22.4,Petrol,Manual,5,1,55541.79238384932
Toyota,2008,1002,60.0,20.1,Petrol,Manual,7,1,42476.68983823094
Ford,2008,2594,83.0,20.9,,Manual,5,1,62641.028027328066
Ford,2020,1717,,16.1,,Automatic,6,2,64595.73843776466
BMW,2004,2125,157.0,22.8,Diesel,Automatic,6,0,83777.67724761581
Honda,2023,2078,257.0,18.4,CNG,Manual,7,0,69765.9509317951
Toyota,2021,2100,202.0,17.6,Petrol,Manual,7,1,333898.8133711932
Honda,2009,1092,214.0,15.5,CNG,Automatic,7,0,64058.586848680316
Honda,2018,3594,88.0,25.0,Petrol,Automatic,7,1,53374.873302538224
Ford,2002,814,138.0,20.1,CNG,Automatic,5,3,43963.30452172211
Ford,2008,2378,267.0,16.8,CNG,Automatic,4,0,60550.446043935845
Ford,2003,2091,,12.1,Petrol,Automatic,4,3,100344.79309969461
Hyundai,2002,3682,250.0,,Petrol,Manual,7,3,367570.9572300372
Maruti,2021,946,394.0,6.8,Petrol,Automatic,4,0,85794.09192637663
Toyota,2014,3528,,,Diesel,Automatic,4,0,46732.33500158255
Audi,2012,1752,270.0,22.7,CNG,Automatic,5,2,74395.12839972737
Kia,2001,1214,390.0,15.9,Diesel,Automatic,5,3,92159.00306486907
Hyundai,2014,1331,174.0,18.1,Petrol,Manual,5,1,47919.3310470392
Honda,2017,2452,183.0,19.3,Petrol,Automatic,6,0,54973.49328194931
BMW,2008,1591,327.0,17.2,CNG,Automatic,4,0,97791.65566113856
Toyota,2013,2743,374.0,18.3,Diesel,Manual,5,2,84464.93876601994
Honda,2001,2323,298.0,23.8,,Automatic,6,3,82200.10140824794
Honda,2005,2238,311.0,18.9,Diesel,Manual,7,3,72097.44904155424
BMW,2015,3759,163.0,18.6,Diesel,Automatic,7,0,59854.695399510136
Hyundai,2012,1240,391.0,18.3,Petrol,Automatic,6,1,90756.33193143758
Toyota,2013,3911,208.0,19.2,Diesel,Manual,6,1,35273.29764173119
Maruti,2021,2942,,21.1,CNG,Automatic,6,3,58401.10751297557
Audi,2015,3682,160.0,24.0,Diesel,Manual,6,1,65449.21455235204
Hyundai,2017,1480,315.0,14.4,Diesel,Automatic,4,3,68568.60464990567
Ford,2020,1851,258.0,16.9,Diesel,Manual,7,0,72439.80133904287
Kia,2008,2954,190.0,21.4,Petrol,Automatic,7,0,67645.33910187028
Audi,2008,1550,310.0,22.2,Petrol,Automatic,7,3,78062.13148470096
Honda,2017,3861,108.0,22.6,Petrol,Manual,5,3,51399.13924963072
Hyundai,2000,3021,228.0,14.9,Petrol,Automatic,6,2,59177.12915131319
Audi,2009,928,255.0,17.7,Diesel,Automatic,5,3,73926.83789086789
Hyundai,2009,3852,328.0,21.5,CNG,Manual,4,0,71772.99949475705
Audi,2012,2087,55.0,17.5,Diesel,Automatic,4,3,31292.71990567357
BMW,2004,3015,54.0,16.9,Petrol,Automatic,6,0,42980.332457353856
Honda,2007,869,74.0,15.9,,Manual,6,3,41052.352774265266
Toyota,2012,2954,168.0,18.9,Petrol,Manual,7,3,42266.56613887797
Kia,2005,3564,115.0,21.5,Diesel,Automatic,5,0,42164.49617364851
Maruti,2018,2124,240.0,25.0,CNG,Manual,6,3,64370.94566790544
Audi,2014,3024,159.0,23.1,Diesel,Manual,7,3,56026.92208772387
Maruti,2002,3843,175.0,,CNG,Manual,5,0,89011.3758871021
BMW,2024,3778,326.0,19.7,,Manual,6,3,76988.15303168917
Ford,2016,816,352.0,20.9,Petrol,Manual,4,2,75502.9929287073
Honda,2009,818,270.0,13.5,CNG,Automatic,7,1,82107.60755878741
Maruti,2024,3722,,22.3,Diesel,Manual,4,1,62837.65416845239
Maruti,2013,2138,72.0,22.2,Petrol,Automatic,4,1,57592.71636414035
Hyundai,2016,3565,194.0,,Petrol,Automatic,7,1,62039.03494154829
BMW,2017,3852,232.0,16.9,Petrol,Automatic,4,3,85155.8349742773
Maruti,2021,1714,328.0,11.9,CNG,Manual,7,2,85859.20652791881
Toyota,2015,1114,73.0,18.0,Diesel,Automatic,6,3,31747.12755797468
