Property_ID,Area,Bedrooms,Bathrooms,Square_Feet,Parking,Furnishing_Status,Year_Built,Distance_to_CityCenter,Crime_Rate,Locality_Rating,House_Price
130,Suburb,3.0,2,1585,Yes,Semi-Furnished,,5.53,43.56,,144760
131,Hilltop,3.0,3,1083,No,Semi-Furnished,2020.0,13.89,45.68,,207112
132,Riverside,2.0,3,2895,No,Semi-Furnished,2003.0,27.69,58.08,,198761
133,City Outskirts,2.0,5,1209,Yes,Unfurnished,,15.51,29.93,,214738
134,Hilltop,2.0,2,1910,Yes,Furnished,,5.36,53.02,6.0,201358
135,Industrial Zone,5.0,3,929,No,Furnished,2015.0,20.27,52.3,,245923
136,Hilltop,2.0,1,1600,Yes,Semi-Furnished,,18.15,46.52,5.0,199546
137,City Outskirts,3.0,2,2010,Yes,Furnished,,15.85,70.08,3.0,191207
138,Uptown,4.0,5,1387,Yes,Semi-Furnished,,0.73,60.34,,248727
139,Hilltop,3.0,2,2093,No,Unfurnished,,24.15,26.25,,178345
140,Suburb,,2,1665,No,Furnished,,27.39,44.28,,286891
141,Downtown,,1,2380,No,Semi-Furnished,,14.83,39.55,,185336
142,Hilltop,2.0,3,2480,Yes,Furnished,,10.36,48.24,,163751
143,City Outskirts,3.0,3,1506,Yes,Semi-Furnished,,18.73,35.18,,240436
144,Hilltop,2.0,2,1838,Yes,Furnished,1981.0,18.82,34.16,,246227
145,Uptown,2.0,5,1891,Yes,Unfurnished,,19.43,47.48,,149612
146,Uptown,1.0,1,2109,Yes,Furnished,,15.07,51.21,,84556
147,Uptown,3.0,2,1807,No,Unfurnished,,18.82,37.66,,260333
148,Suburb,3.0,4,1895,Yes,Unfurnished,,20.24,35.93,,308593
149,Industrial Zone,1.0,2,1678,No,Semi-Furnished,,32.95,26.25,,175607
150,Industrial Zone,2.0,2,1857,Yes,Semi-Furnished,,18.09,54.78,,103368
151,Hilltop,5.0,2,2448,No,Furnished,1982.0,16.24,44.11,,367594
152,Uptown,2.0,3,2123,Yes,Unfurnished,1988.0,4.37,41.05,,189253
153,Riverside,2.0,1,2150,Yes,Semi-Furnished,1981.0,4.98,62.5,,252286
154,Downtown,3.0,4,2161,Yes,Unfurnished,,15.88,11.67,,325611
155,Industrial Zone,,3,1723,Yes,Unfurnished,2007.0,14.44,57.88,,109261
156,Uptown,2.0,1,1959,No,Unfurnished,,8.3,71.32,,156761
157,Industrial Zone,3.0,3,1257,Yes,Furnished,,8.07,18.62,,178293
158,Suburb,4.0,2,2434,No,Unfurnished,,19.23,20.67,,223711
159,Downtown,2.0,2,408,No,Unfurnished,,10.95,28.22,,97595
160,Downtown,4.0,3,1756,No,Furnished,,9.62,31.92,,223776
161,City Outskirts,3.0,5,2370,Yes,Furnished,,7.65,65.01,,183844
162,Uptown,3.0,1,1118,Yes,Semi-Furnished,,9.29,45.96,,183079
163,Uptown,3.0,2,1999,No,Unfurnished,,12.37,80.47,,124959
164,Hilltop,3.0,2,1459,Yes,Unfurnished,,14.84,44.39,,236561
165,Suburb,1.0,2,1615,No,Furnished,,16.63,45.6,,167686
166,Riverside,4.0,2,2272,No,Furnished,,12.06,69.89,,204365
167,Hilltop,2.0,1,1899,Yes,Semi-Furnished,,2.51,11.66,,24556
168,Riverside,2.0,3,782,Yes,Furnished,,7.16,51.64,,145222
169,City Outskirts,1.0,2,1311,No,Furnished,,11.41,58.16,,147915
170,Industrial Zone,3.0,1,2287,No,Furnished,,22.23,66.73,,190892
171,Industrial Zone,3.0,3,2024,Yes,Furnished,,14.29,63.42,,136646
172,Riverside,1.0,3,2674,Yes,Semi-Furnished,1998.0,17.98,53.93,,71942
173,Industrial Zone,3.0,2,2641,Yes,Unfurnished,1997.0,24.81,69.44,,183557
174,Suburb,2.0,2,1628,No,Unfurnished,,13.83,70.52,,109368
175,Industrial Zone,3.0,3,3051,No,Unfurnished,2002.0,14.93,59.75,,206700
176,City Outskirts,2.0,2,1812,No,Unfurnished,,15.27,34.82,,143879
177,Uptown,3.0,2,3954,Yes,Unfurnished,,100.0,52.28,,787040
178,Riverside,3.0,3,1483,No,Furnished,,7.71,62.32,,188207
179,Suburb,5.0,1,671,No,Unfurnished,,18.5,45.83,,316043
180,Suburb,2.0,1,2603,No,Furnished,1989.0,15.7,60.48,,104646
181,Uptown,2.0,1,2597,Yes,Unfurnished,,9.21,48.98,,88177
182,Industrial Zone,2.0,1,1292,No,Unfurnished,,13.78,41.48,,102856
183,Suburb,5.0,1,1686,Yes,Furnished,,1.99,52.25,,290889
184,City Outskirts,4.0,10,1847,No,Unfurnished,,4.26,29.47,,275568
185,City Outskirts,2.0,2,1319,No,Furnished,,21.19,53.79,,219993
186,Hilltop,3.0,1,922,Yes,Semi-Furnished,,13.48,39.26,,167403
187,Downtown,4.0,2,1694,Yes,Semi-Furnished,,24.31,58.67,,307878
188,Uptown,3.0,4,1639,Yes,Semi-Furnished,,15.44,32.96,,136384
189,Industrial Zone,3.0,2,1605,No,Unfurnished,,16.54,78.73,,223116
190,Suburb,2.0,2,1911,Yes,Unfurnished,1987.0,14.85,34.65,,70717
191,Riverside,1.0,4,2514,No,Unfurnished,,7.93,62.85,,73146
192,Hilltop,4.0,2,1648,No,Unfurnished,,17.88,47.76,,250687
193,City Outskirts,5.0,2,1885,Yes,Furnished,1996.0,10.31,57.81,,325064
194,Uptown,3.0,2,2163,Yes,Semi-Furnished,,17.23,60.99,,204802
195,Industrial Zone,2.0,2,2077,Yes,Furnished,,9.16,47.0,,84239
196,Uptown,2.0,2,1492,Yes,Semi-Furnished,,20.21,47.52,,219485
197,Industrial Zone,4.0,3,1848,No,Semi-Furnished,,18.04,47.18,,250842
198,City Outskirts,4.0,2,2073,No,Furnished,,23.56,20.59,4.0,310051
199,Downtown,4.0,2,1235,Yes,Furnished,,20.07,62.51,,204561
200,Uptown,4.0,1,2431,Yes,Furnished,,14.61,50.62,,283016
201,Suburb,3.0,1,2515,No,Semi-Furnished,2018.0,25.76,44.9,,175026
202,Riverside,1.0,2,1438,No,Furnished,,17.68,48.03,,79140
203,Riverside,2.0,4,1896,Yes,Unfurnished,,-1.18,43.36,,147015
204,City Outskirts,4.0,2,2121,No,Furnished,,10.74,19.4,,208004
205,Uptown,3.0,3,1527,No,Semi-Furnished,,13.96,43.43,,181757
206,Riverside,1.0,2,2040,No,Semi-Furnished,,24.15,49.89,2.0,112768
207,Uptown,2.0,1,1881,No,Furnished,,11.96,37.83,,126836
208,City Outskirts,3.0,1,1066,No,Furnished,,10.17,50.77,,157940
209,Downtown,1.0,2,2029,No,Semi-Furnished,,0.65,62.72,,127029
210,Riverside,2.0,1,1249,No,Semi-Furnished,,24.04,41.07,,126657
211,Suburb,3.0,1,2269,No,Furnished,,25.08,28.41,,220942
212,Hilltop,3.0,3,1464,Yes,Unfurnished,,7.02,50.75,,385953
213,City Outskirts,3.0,1,1719,No,Unfurnished,,5.07,56.4,,175933
214,Hilltop,2.0,2,2486,Yes,Unfurnished,,22.28,75.75,10.0,68508
215,Downtown,4.0,2,2048,Yes,Semi-Furnished,,24.06,42.72,,330791
216,Suburb,2.0,2,1260,Yes,Unfurnished,1997.0,9.95,50.51,,179592
217,Hilltop,2.0,2,1292,Yes,Unfurnished,,13.37,68.21,,119221
218,Suburb,4.0,2,1500,Yes,Furnished,,18.9,37.11,,229877
219,Riverside,3.0,2,1997,No,Furnished,,7.85,58.34,,153431
220,Uptown,4.0,3,1979,Yes,Unfurnished,,8.66,57.85,,253944
221,City Outskirts,3.0,4,1378,No,Semi-Furnished,,12.61,59.27,,156144
222,Suburb,3.0,1,1216,Yes,Unfurnished,,8.03,41.21,1.0,173851
223,Riverside,1.0,1,1940,No,Furnished,1990.0,35.39,36.21,,133027
224,Downtown,3.0,4,1709,No,Furnished,,23.72,46.17,,236397
225,Industrial Zone,2.0,2,2878,Yes,Furnished,1986.0,12.87,49.81,,146363
226,Suburb,2.0,2,1818,No,Unfurnished,2016.0,15.91,29.91,,172959
227,Downtown,,2,2707,Yes,Semi-Furnished,,3.78,57.8,,281202
228,City Outskirts,3.0,1,1214,No,Unfurnished,,17.81,62.6,,149575
229,Riverside,4.0,2,1013,No,Furnished,,20.19,31.26,,183725
230,Downtown,3.0,2,1239,Yes,Furnished,,10.33,63.48,,251829
231,Uptown,4.0,2,2394,No,Furnished,,11.86,32.5,,214592
232,Hilltop,3.0,2,2678,No,Furnished,,8.62,39.07,,135797
233,Downtown,3.0,3,1408,No,Unfurnished,,24.69,50.41,,235064
234,Downtown,3.0,2,1569,No,Unfurnished,,24.34,51.45,,261929
235,Riverside,2.0,1,1215,No,Semi-Furnished,,17.74,70.31,,131695
236,Riverside,4.0,2,894,No,Furnished,,15.94,59.51,,133163
237,Suburb,2.0,3,2159,Yes,Unfurnished,,6.26,54.15,,175439
238,Hilltop,1.0,3,1911,No,Unfurnished,,9.98,39.93,,149458
239,Downtown,3.0,3,1805,Yes,Furnished,,12.96,42.51,,129595
240,Downtown,2.0,1,1099,No,Unfurnished,,10.31,35.58,,76207
241,Riverside,5.0,3,2619,Yes,Furnished,,18.95,42.82,,305598
242,Industrial Zone,,3,1548,No,Semi-Furnished,,3.53,75.88,,83378
243,Uptown,5.0,1,2066,Yes,Furnished,,5.98,48.32,,185742
244,Industrial Zone,3.0,2,1072,No,Furnished,2012.0,10.59,52.73,,126579
245,Riverside,1.0,2,1704,Yes,Unfurnished,,3.99,43.39,,47219
246,Uptown,5.0,3,1945,Yes,Semi-Furnished,,22.0,35.96,,342457
247,Hilltop,3.0,2,1963,Yes,Semi-Furnished,,22.98,52.21,,193391
248,Industrial Zone,,2,1877,No,Unfurnished,,3.14,52.24,,229748
249,Riverside,,4,2047,No,Semi-Furnished,2000.0,17.03,67.41,,213120
250,Hilltop,4.0,3,1234,No,Semi-Furnished,,12.18,42.66,,192181
251,City Outskirts,2.0,4,1898,Yes,Furnished,,14.93,43.41,,144531
252,Downtown,3.0,5,1856,No,Unfurnished,,18.74,38.37,,180577
253,Hilltop,4.0,1,1915,Yes,Semi-Furnished,,0.58,53.31,,255897
254,Uptown,2.0,3,1836,No,Semi-Furnished,,22.48,66.07,,177628
255,City Outskirts,2.0,2,1163,Yes,Semi-Furnished,,18.65,65.5,,214319
256,Uptown,3.0,4,1141,Yes,Furnished,,22.61,75.71,,232395
257,Suburb,5.0,2,692,Yes,Furnished,,2.02,30.99,,399012
258,Suburb,3.0,0,2208,No,Unfurnished,,14.76,54.98,5.0,237434
259,Downtown,3.0,3,2213,Yes,Unfurnished,,18.76,56.72,,185334
260,City Outskirts,1.0,3,2221,No,Furnished,,18.05,27.86,,164843
261,City Outskirts,3.0,1,1953,Yes,Unfurnished,,20.98,64.39,,114896
262,Suburb,,1,733,No,Unfurnished,1984.0,18.19,15.63,,212950
263,Downtown,2.0,3,1286,Yes,Unfurnished,,1.36,46.37,,152156
264,Hilltop,3.0,1,1885,Yes,Furnished,2005.0,23.07,25.24,2.0,173517
265,Suburb,4.0,3,1867,Yes,Furnished,,11.64,95.28,,300703
266,City Outskirts,4.0,1,1688,No,Semi-Furnished,,16.41,48.28,,252844
267,Uptown,3.0,3,1984,Yes,Semi-Furnished,,25.88,64.25,10.0,133067
268,Industrial Zone,4.0,2,1805,Yes,Semi-Furnished,,14.94,50.4,,261728
269,City Outskirts,3.0,3,1860,No,Semi-Furnished,2015.0,12.55,39.39,,119322
270,Downtown,2.0,3,1480,No,Unfurnished,2009.0,6.86,66.61,,166571
271,City Outskirts,4.0,2,2291,Yes,Unfurnished,,5.68,49.5,,277804
272,Riverside,4.0,1,1584,No,Furnished,,6.54,32.26,,277875
273,City Outskirts,4.0,1,1134,No,Unfurnished,,14.75,40.5,,147965
274,Riverside,5.0,2,1414,Yes,Unfurnished,,30.33,34.95,,228292
275,Suburb,3.0,2,1625,No,Unfurnished,2012.0,12.84,48.66,,245769
276,Hilltop,3.0,3,2297,Yes,Semi-Furnished,,14.8,45.79,,369436
277,Riverside,4.0,2,1778,Yes,Furnished,,19.85,46.89,,244533
278,City Outskirts,3.0,2,1706,Yes,Semi-Furnished,,10.09,57.15,,212641
279,Hilltop,4.0,2,1175,No,Unfurnished,2002.0,24.61,90.24,,284809
280,Industrial Zone,4.0,1,2192,No,Unfurnished,,11.58,51.11,,239196
281,Hilltop,4.0,2,1474,Yes,Furnished,,23.58,37.78,,253829
282,City Outskirts,2.0,5,1749,Yes,Semi-Furnished,,19.2,83.98,,157655
283,City Outskirts,3.0,4,2540,No,Unfurnished,,15.6,72.15,,261102
284,Industrial Zone,1.0,2,2054,No,Furnished,,10.74,58.26,,124258
285,Downtown,3.0,2,985,Yes,Unfurnished,,21.61,52.06,,177166
286,Suburb,1.0,3,915,Yes,Unfurnished,,14.22,55.93,,51594
287,Riverside,3.0,2,1767,Yes,Furnished,,11.45,14.87,,159879
288,Uptown,3.0,1,1193,No,Furnished,,26.13,26.04,,249212
289,Riverside,2.0,1,2124,Yes,Unfurnished,,0.21,63.11,3.0,169958
290,City Outskirts,3.0,2,1821,No,Furnished,,25.59,71.66,,247312
291,Uptown,1.0,5,1882,Yes,Unfurnished,,29.21,22.9,,69637
292,Uptown,1.0,3,1446,No,Semi-Furnished,,8.76,36.85,,62639
293,Riverside,4.0,1,2670,No,Unfurnished,,10.4,40.03,,238506
294,Industrial Zone,3.0,1,3221,Yes,Furnished,,7.19,35.94,,222186
295,Riverside,2.0,3,1660,No,Semi-Furnished,,21.1,54.56,,71166
296,Riverside,3.0,3,1976,No,Furnished,,10.52,61.17,4.0,158165
297,Riverside,4.0,3,1848,Yes,Unfurnished,,14.14,34.71,,255174
298,Industrial Zone,2.0,3,1670,No,Furnished,,19.45,28.7,,189836
299,Industrial Zone,3.0,1,1383,No,Unfurnished,,3.75,32.37,,142607
300,Suburb,1.0,3,1257,Yes,Furnished,,4.24,43.2,,139867
301,Downtown,1.0,3,1232,No,Furnished,,17.34,73.83,,64335
302,Downtown,3.0,2,2002,No,Unfurnished,,12.3,51.0,,158317
303,Riverside,3.0,3,1540,Yes,Semi-Furnished,2014.0,8.06,78.93,,322207
304,Downtown,3.0,2,510,Yes,Unfurnished,,15.0,61.89,,216911
305,Riverside,4.0,1,2022,Yes,Semi-Furnished,,14.14,40.61,,186804
306,Riverside,,2,1780,No,Semi-Furnished,,8.63,52.03,,187954
307,Riverside,3.0,1,2473,Yes,Semi-Furnished,,16.11,42.13,,197100
308,Hilltop,2.0,2,1986,Yes,Semi-Furnished,1986.0,8.04,33.59,,178792
309,Suburb,4.0,2,1060,Yes,Unfurnished,,20.03,45.39,,206935
310,City Outskirts,2.0,2,685,Yes,Unfurnished,,13.62,61.87,,157043
311,Downtown,3.0,2,1440,Yes,Semi-Furnished,,27.88,41.35,,243749
312,Downtown,1.0,2,1487,Yes,Semi-Furnished,2017.0,5.87,46.43,,75956
313,Suburb,1.0,1,2271,Yes,Semi-Furnished,,10.86,41.14,,116612
314,Suburb,,3,1795,No,Semi-Furnished,,21.53,70.27,,191723
315,Riverside,4.0,2,2366,No,Semi-Furnished,,7.64,47.31,,264353
316,Riverside,3.0,2,1137,Yes,Semi-Furnished,,15.23,45.2,,195267
317,Hilltop,3.0,4,2282,Yes,Furnished,,1.16,45.55,,209965
318,Hilltop,2.0,3,2160,No,Semi-Furnished,,7.51,54.91,,150103
319,City Outskirts,2.0,4,790,Yes,Furnished,,8.46,51.31,,147899
320,Downtown,2.0,2,2461,No,Unfurnished,,13.8,64.44,,146290
321,Suburb,3.0,1,1846,Yes,Unfurnished,,21.94,44.25,,290300
322,City Outskirts,4.0,3,1996,No,Semi-Furnished,,13.1,76.61,,291823
323,Downtown,3.0,2,1367,Yes,Unfurnished,,12.73,39.14,,145961
324,City Outskirts,2.0,2,2437,No,Unfurnished,2017.0,9.37,51.83,,106026
325,City Outskirts,,1,1207,No,Semi-Furnished,,7.0,57.05,,273702
326,Industrial Zone,4.0,3,2216,Yes,Unfurnished,,22.13,49.71,,188566
327,Riverside,3.0,1,2210,No,Unfurnished,,16.23,50.22,,143779
328,City Outskirts,3.0,4,1312,No,Semi-Furnished,,12.73,36.8,,123337
329,Riverside,3.0,4,2791,Yes,Semi-Furnished,,26.22,60.09,,237906
330,Downtown,2.0,2,1915,No,Semi-Furnished,,-4.42,52.39,,232396
331,Hilltop,3.0,3,2126,No,Furnished,,22.15,50.41,,221500
332,Downtown,4.0,3,1036,No,Semi-Furnished,,3.99,21.49,,208828
333,Riverside,1.0,3,2858,No,Unfurnished,,15.93,58.49,,84425
334,Hilltop,2.0,2,1187,Yes,Semi-Furnished,,21.75,59.4,,298924
335,Industrial Zone,1.0,3,2312,No,Furnished,,2.5,8.63,,81433
336,Uptown,1.0,2,1302,No,Unfurnished,,23.65,59.6,,112650
337,Hilltop,4.0,4,1490,No,Furnished,,14.04,46.54,,231442
338,City Outskirts,4.0,2,2194,No,Unfurnished,,9.37,25.08,,256887
339,Downtown,3.0,2,2313,Yes,Semi-Furnished,,16.55,35.5,,178407
340,Industrial Zone,1.0,3,1164,No,Furnished,,18.66,31.45,,172661
341,City Outskirts,3.0,3,2345,Yes,Semi-Furnished,,31.61,37.26,,216590
